L;T;M;Tr;R
Abies alba;2;3;3,5;3;3
Acer pseudoplatanus;3;3;3;4;4
Achillea millefolium;4;3,5;2,5;3,5;3,5
Achillea millefolium subsp. sudetica;4;1,5;3;3,5;NA
Aconitum napellus subsp. firmum;4;2;4;4;4
Adenostyles alliariae;4;2,5;4;4;4
Agrostis alpina;5;1,5;3,5;3;4
Agrostis capillaris;4;3,5;2,5;3,5;3,5
Agrostis rupestris;4;1,5;3;2;2
Allium senescens;5;4;2;3;5
Allium sibiricum;5;2;5;NA;4,5
Alnus incana;4;3;4;4;4
Androsace chamaejasme;5;1,5;2;3;5
Androsace lactea;5;2;2;3;5
Androsace obtusifolia;5;1;3;2;2
Anemone narcissifolia;5;1,5;3;3;3
Angelica archangelica subsp. archangelica;4;2,5;4;4;4
Angelica sylvestris;3,5;3,5;4;4;4
Antennaria carpatica;5;1;4;2;4
Antennaria dioica;4;3;2,5;2,5;3
Anthoxanthum alpinum;4;1,5;3;3;3
Anthoxanthum odoratum;4;3,5;3;3;3
Anthyllis vulnenaria;4;2,5;3;3;5
Arabis alpina;4;2;4;3;5
Arabis hirsuta;4;4;2;3;5
Arabis soyeri;3;2;4;4;5
Arenaria ciliata;5;1,5;3;3;5
Artemisia eriantha;5;1;3;2;4
Aruncus dioicus;3;2,5;4;4;4
Asplenium ruta-muraria;4;3,5;2;2;4,5
Asplenium trichomanes-ramosum;2;2;3;4;4,5
Aster alpinus;5;2;3;3;5
Aster bellidiastrum;4;2;4;4;5
Astragalus australis;5;1,5;2;2;5
Astragalus frigidus;5;1,5;3;3;5
Astrantia major;3;2;4;4;3,5
Athyrium distentifolium;3;1,5;4;2,5;2
Athyrium filix-femina;2;3;3,5;3;3
Avenula versicolor;5;1,5;3;2;3
Bartsia alpina;4;1,5;4;3;4
Bellis perennis;4;3,5;3,5;4;3,5
Biscutella laevigata;5;3;3;2;5
Botrychium lunaria;4;2,5;3;3;4
Briza media;4;3;3;3;3
Bupleurum longifolium;3;2,5;3;3,5;4,5
Bupleurum ranunculoides;5;2;2;2;5
Bupleurum tenuissimum;5;5;3,5;2,5;5
Calamagrostis arundinacea;3;3;3;3;2,5
Calamagrostis canescens;3;4;5;3,5;4
Calamagrostis varia;4;2,5;2,5;3;5
Calamagrostis villosa;3,5;2;3,5;2,5;1,5
Callianthemum coriandrifolium;4;1;3;3;3,5
Calluna vulgaris;4;2,5;3;2;1,5
Caltha palustris;4;2;5;4;4
Campanula alpina;5;1,5;3;2;1,5
Campanula cochlearifolia;5;2,5;2;3;5
Campanula rotundifolia subsp. polymorpha;4;2;3;3;4
Campanula rotundifolia subsp. rotundifolia;4;3,5;2,5;3;3,5
Campanula scheuchzeri;5;1;3;3;5
Cardamine impatiens;3;3,5;4;4;4
Cardamine trifolia;2;3;3;3,5;3,5
Cardaminopsis arenosa                ;4;3,5;2;3;4
Cardaminopsis halleri;4;2;3;4;3,5
Cardaminopsis neglecta;5;1;3;2;3
Carduus defloratus subsp. glaucus;4;2,5;3;2;5
Carex atrata;5;1,5;3;3;3
Carex bigelowii;5;2;2,5;2;2
Carex capillaris;5;2,5;5;3;3,5
Carex curta;4;3,5;5;3;2,5
Carex davalliana;4;3,5;5;3;5
Carex firma;4;1,5;3;3;5
Carex fuliginosa;5;1,5;3;NA;3
Carex nigra;4;3;4,5;3;3
Carex pilulifera;3,5;3,5;3;2,5;2,5
Carex sempervirens;5;1,5;3;3;4
Carex sylvatica;2,5;3,5;3,5;4;4
Carlina acaulis;4;3,5;2,5;3;4
Centaurea mollis;3;2,5;3;3,5;4
Centaurea scabiosa;5;4;2,5;3;4,5
Cerastium alpinum;5;1,5;3;3;5
Cerastium arvense                              ;5;4;2;2;4
Cerastium arvense subsp. glandulosum;4;2;3,5;2;5
Cerastium cerastoides;5;1;4;2;3
Cerastium fontanum;5;1,5;3;3;4
Cerastium latifolium;5;1;3;3;5
Cerastium uniflorum;5;1;3;2;5
Chaerophyllum hirsutum;3;3;4,5;4;4
Chamorchis alpina;5;1,5;3;3;5
Chrysosplenium alternifolium;2;3;4,5;4;4,5
Cicerbita alpina;3,5;2,5;4;4;4
Circaea alpina;1;3,5;4;3,5;3
Cirsium erisithales;3;2,5;3,5;3,5;4
Cirsium helenioides;4;2,5;4;4;3
Clematis alpina;3;2,5;3;3;4
Cochlearia tatrae;5;1;4;NA;3
Coeloglossum viride;4;2,5;3;3;3,5
Corallorhiza trifida;1;3;3;2,5;2,5
Cortusa matthioli;3;2,5;4,5;4;5
Cotoneaster integerrimus;5;3,5;2;2;4,5
Crepis jacquinii;4;1,5;3;3;5
Crepis mollis;4;3;3;4;4
Crepis paludosa;3;3;4,5;4;4,5
Cruciata glabra;3,5;3;3,5;3,5;4
Cystopteris alpina;3;1,5;3;2;5
Cystopteris fragilis;2,5;2,5;2,5;3;4,5
Cystopteris sudetica;2;3;3;4;4
Dactylis glomerata;4;3;3;4,5;4,5
Daphne mezereum;2,5;3,5;3;4;4,5
Delphinium elatum;4;2,5;4;4;4,5
Delphinium oxysepalum;4;1,5;3;4;4,5
Deschampsia cespitosa                     ;4;2,5;4;3,5;3,5
Deschampsia flexuosa;3,5;2,5;3;2;2
Dianthus glacialis;5;1,5;3;2;4
Dianthus plumarius;5;2,5;3;3;5
Dianthus superbus subsp. alpestris;4;3,5;4;3;4,5
Digitalis grandiflora;3,5;3;3;3,5;4
Diphasiastrum alpinum;5;1,5;3;2;2
Doronicum austriacum;3;2,5;4;4;4
Doronicum clusii;5;1,5;4;3;3
Draba aizoides;5;1,5;3;2;5
Draba dubia;5;1,5;NA;NA;3
Draba tomentosa;5;1;NA;NA;5
Dryas octopetala;5;2;3;3;4,5
Dryopteris carthusiana;2;3,5;3,5;3,5;3,5
Dryopteris dilatata;2;3,5;3,5;3;2,5
Empetrum nigrum;3,5;3,5;3,5;2,5;3
Empetrum nigrum subsp. hermaphroditum;5;1,5;3;2;2,5
Epilobium alpestre;4;2,5;4,5;NA;5
Epilobium alsinifolium;4;2;5;4;NA
Epilobium anagallidifolium;4;1,5;5;NA;4
Epilobium angustifolium;4,5;3;3;4;3,5
Epilobium tetragonum subsp. tetragonum;3;3,5;4,5;NA;NA
Epipactis atrorubens;3;4;2,5;3,5;5
Equisetum variegatum;4;3;4,5;3;4,5
Erigeron alpinus;4;2;3;NA;5
Erigeron nanus;4;1,5;3;3;4
Erigeron uniflorus;5;1,5;3;2;3,5
Euphrasia minima;5;2;2;2;4
Euphrasia minima subsp. tatrae;5;2;2;2;4
Euphrasia salisburgensis;5;2;3;3;5
Euphrasia stricta;5;4;2,5;3;4
Fagus sylvatica;3;3;3;3,5;4
Festuca airoides;5;1,5;2;2;2
Festuca amethystina;4;3;3;3;5
Festuca carpatica;5;1,5;3;3,5;5
Festuca picta;5;1,5;3;2;4
Festuca psammophila;5;4,5;2;2;2
Festuca rubra;4;3,5;3;3;4
Festuca versicolor;5;1,5;3;NA;4
Fragaria vesca;3,5;3;3;3;3,5
Fraxinus excelsior;3;3,5;3,5;4;4
Galium anisophyllum;5;2,5;3;3;5
Galium sudeticum;5;2;3;3;4
Galium sylvaticum;3;4;2,5;3,5;4
Gentiana asclepiadea;3,5;2,5;3;3;3
Gentiana clusii;5;2;3;2;5
Gentiana frigida;5;1;3;2;3
Gentiana nivalis;5;1,5;3;3;4,5
Gentiana punctata;5;1,5;3;3;3
Gentiana verna;5;2;3;3;4,5
Gentianella amarella;4;3,5;4;3;4
Gentianella ciliata;5;4;2;3;4,5
Gentianella germanica;5;3,5;3;3;3
Gentianella lutescens;4;2,5;3;3;4,5
Gentianella tenella;5;1;3;3;5
Geranium robertianum;2,5;3,5;3;3,5;4
Geranium sylvaticum;3;3;3,5;3,5;3,5
Geum montanum;4;1,5;3;2,5;2,5
Geum reptans;5;1,5;3;2;2
Geum rivale;3;3;4;4;4
Gymnadenia conopsea;4;4;3,5;3;4,5
Gymnadenia odoratissima;4;3;3;2;5
Gymnocarpium robertianum;4;3;2,5;3;5
Gypsophila repens;5;2,5;3;3;5
Hedysarum hedysaroides;5;1,5;3;3;5
Helianthemum nummularium;5;4;2;2;4
Heracleum sphondylium;4;3;4;4;4,5
Heracleum sphondylium subsp. sibiricum;4;3;4;4;4,5
Hieracium acuminatum;2,5;3;3;NA;3
Hieracium alpicola;5;1;3;2;2,5
Hieracium alpinum;5;1,5;3;2;2
Hieracium atratum;5;1,5;3;2,5;3
Hieracium aurantiacum;4;2,5;3;3;2,5
Hieracium bifidum;4;3,5;2,5;2;5
Hieracium bupleuroides;4;3;2,5;3;5
Hieracium caesium;4;2,5;2,5;3;5
Hieracium caespitosum;4;3,5;3;3;4
Hieracium fritzei;4;2;3;3;3
Hieracium lactucella;3,5;3;3;3;4
Hieracium murorum;3;3;2,5;3;3,5
Hieracium nigrescens;4;2;3;3;3
Hieracium pilosella;5;3,5;2;2;3,5
Hieracium piloselloides;4;3,5;2,5;3;4
Hieracium prenanthoides;3,5;3;3;3;3
Hieracium villosum;5;2;3;3;5
Hieracium x brachiatum;4;3;3;4;3
Homogyne alpina;3;2;3;2;1,5
Huperzia selago;3,5;3,5;3,5;2,5;2,5
Hypericum maculatum;4;3;3,5;3,5;4
Hypericum tetrapterum;4;3,5;4;3;2
Hypochoeris uniflora;4;2;3;3;2,5
Jovibarba globifera subsp. globifera;4;4;1;2;4
Juncus trifidus;5;1,5;3;2;2,5
Juniperus communis;5;1,5;3;2;2
Kernera saxatilis;5;2,5;3;3;5
Knautia kitaibelii                             ;5;2,5;3;3;4,5
Larix decidua;5;2,5;3;2;3
Laserpitium latifolium;4;4;3;3;4,5
Leontodon incanus;5;3;2,5;3;5
Leontodon montanus subsp. pseudotaraxaci;5;1,5;3;3;4
Leontopodium alpinum;5;2,5;2,5;3;5
Leucanthemopsis alpina;5;1,5;3;2;2
Leucanthemum vulgare;4;3;3;4;4
Leucanthemum waldstenii;3;2;3,5;3;3
Ligusticum mutellina;5;1,5;3;3;4
Ligusticum mutellinoides;5;1;3;NA;4
Lilium martagon;3;3;3;4;4,5
Linum catharticum;4;3;3;3;4
Linum perenne subsp. extraaxillare;5;1,5;3;3;4
Listera ovata;3,5;3,5;4,5;4;4,5
Lloydia serotina;5;1;3;2;4
Lotus corniculatus;4;3;3,5;3,5;4
Luzula alpinopilosa;5;1,5;4;2;3
Luzula luzulina;2;2,5;3;3;3,5
