No	Species.name	L	T	K	F	R	Protected.species	Red.coded
1	Amblystegium serpens	5	NA	5	4	6		
2	Amblystegium varium	5	5	5	5	6		
3	Anastrophyllum hellerianum	7	3	6	6	2	1	3
4	Anastrophyllum michauxii	4	3	7	6	2		3
5	Aneura pinguis	8		5	8	7		
6	Anomodon attenuatus	5	5	7	5	7	1	
7	Anomodon longifolius	4	3	6	5	8	1	1
8	Anomodon viticulosus	4	3	5	4	8	1	
9	Antitrichia curtipendula	6	3	4	4	6	1	4
10	Atrichum undulatum	6		5	6	4		
11	Aulacomnium palustre	7	2	6	7	3	1	
12	Bazzania trilobata	5	4	6	6	2	1	
13	Blepharostoma trichophyllum	5	3	6	6	3		
14	Brachytheciastrum velutinum	5	3	5	4	6		
15	Brachythecium rutabulum	5		5	4			
16	Brachythecium salebrosum	6	4	5	4	6		
17	Bryum argenteum	7				6		
18	Bryum pseudotriquetrum	7		5	7	7		
19	Buxbaumia aphylla	7	3	6	5	2	1	
20	Callicladium haldanianum	6	4	7	6	2		
21	Calliergon cordifolium	7	4	6	8	4		
22	Calliergonella cuspidata	8	3	5	7	7	1	
23	Calypogeia integristipula	4	3	5	6	2		
24	Calypogeia muelleriana	5	3	6	5	3		
25	Calypogeia trichomanis	4	3	6	6	3		
26	Campylium stellatum	8	2	6	7	7		
27	Cephalozia bicuspidata	5		5	5	3		
28	Cephalozia catenulata	5	4	4	6	2	1	3
29	Cephaloziella divaricata	9		5	2	4		
30	Cephaloziella rubella	8	3	5	3	3		
31	Ceratodon purpureus	8		2				
32	Chiloscyphus pallescens	5	3	6	8	7		
33	Cirriphyllum piliferum	7	3	6	5	6		
34	Climacium dendroides	7	3	5	6	5	1	
35	Conocephalum conicum	7	3	6	7	7		
36	Dicranella cerviculata	8	3	6	6	1		
37	Dicranella heteromalla	5	4	5	4	2		
38	Dicranodontium denudatum	4	3	6	6	2		
39	Dicranum fuscescens	7	2	6	6	2		
40	Dicranum polysetum	6	3	6	4	5	1	
41	Dicranum scoparium	5		5	4	4	1	
42	Dicranum spurium	7	3	6	2	2		
43	Dicranum viride	5	5	7	5	7	1	2
