Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
summit;2452;2452;2061;2061;1704;1704;2122;2122;2503;2503;2410;2410;2096;2096;1823;1823;1894;1894
Abies alba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer pseudoplatanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achillea millefolium;0;0;0;2061;0;0;0;0;0;0;0;0;0;2096;0;0;1894;0
Achillea millefolium subsp. sudetica;0;0;0;0;0;0;0;2116;0;0;0;0;0;0;0;0;0;0
Aconitum napellus subsp. firmum;0;2315;0;2061;0;0;2122;2122;2503;1765;2410;2233;0;0;1823;1823;0;1894
Adenostyles alliariae;0;0;0;0;0;0;2122;2122;2503;1990;2410;2410;0;2096;0;1823;0;0
Agrostis alpina;0;2200;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Agrostis capillaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis rupestris;0;2288;0;2061;1704;1704;2122;2122;2503;2500;0;2410;0;0;0;1823;0;1825
Allium senescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus incana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Androsace chamaejasme;0;2360;0;2061;0;1704;2093;0;0;0;0;0;0;2096;1823;1823;1894;1825
Androsace lactea;0;0;0;2061;1704;1704;0;0;0;0;0;0;0;0;0;1823;0;1825
Androsace obtusifolia;0;0;0;2061;0;0;2122;2122;2503;0;2410;2410;0;0;0;0;0;0
Anemone narcissifolia;0;2164;0;2061;0;1704;2122;2122;2503;2053;2410;2410;0;2096;0;1823;0;0
Angelica archangelica subsp. archangelica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Angelica sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria carpatica;0;0;2061;2061;0;0;2122;0;0;2500;2410;1989;0;2096;0;0;0;0
Antennaria dioica;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;1823;1823;0;1825
Anthoxanthum alpinum;0;2360;0;2061;1704;1704;0;2122;2503;2053;0;1989;0;2096;0;1823;0;1825
Anthoxanthum odoratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthyllis vulnenaria;0;0;0;2061;0;0;2034;0;0;0;0;0;0;0;1823;1823;1894;1825
Arabis alpina;0;0;0;0;0;0;2113;2122;2503;2155;2250;2278;0;2096;1823;0;1894;1894
Arabis hirsuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabis soyeri;0;0;0;0;0;0;1960;0;0;0;0;0;0;0;0;0;0;0
Arenaria ciliata;0;0;0;2061;1704;1704;1987;0;0;0;0;0;0;0;1823;1823;1894;1894
Artemisia eriantha;0;0;0;2061;0;0;0;0;0;0;2250;0;0;0;0;0;0;0
Aruncus dioicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium ruta-muraria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium trichomanes-ramosum;0;0;0;0;1704;0;2034;2087;0;0;0;0;0;2096;0;1823;0;1894
Aster alpinus;0;0;1946;0;0;0;0;0;0;0;0;0;0;0;0;0;1885;0
Aster bellidiastrum;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;1823;1823;0;1825
Astragalus australis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Astragalus frigidus;0;0;1978;2061;0;0;0;0;0;0;0;0;0;0;1823;1823;1858;0
Astrantia major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Athyrium distentifolium;0;0;0;0;0;0;0;0;2503;1895;1992;1989;0;0;0;1823;0;1825
Athyrium filix-femina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenula versicolor;0;2238;0;0;0;1704;2122;2116;2503;0;2410;2188;0;0;0;1823;0;1825
Bartsia alpina;2452;0;0;2061;1704;1704;2122;2122;2503;0;2410;2410;0;2096;0;1823;0;1894
Bellis perennis;0;0;0;0;1603;0;0;0;0;0;0;0;0;0;0;0;0;0
Biscutella laevigata;0;0;0;2061;0;0;2122;2116;0;0;0;0;2102;2096;0;1823;0;1825
Botrychium lunaria;0;0;0;0;1704;1704;0;2122;0;0;0;0;0;2096;0;1823;1894;1894
Briza media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bupleurum longifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Bupleurum ranunculoides;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Bupleurum tenuissimum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis arundinacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis canescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis varia;0;0;0;0;0;0;0;0;0;1765;0;0;0;0;0;0;0;0
Calamagrostis villosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Callianthemum coriandrifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calluna vulgaris;0;2145;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;0
Caltha palustris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula alpina;2452;2452;0;2061;0;0;1988;2116;2200;2500;2410;2410;0;2096;0;1823;0;1825
Campanula cochlearifolia;0;2423;0;2061;0;0;0;0;0;0;0;0;1900;0;1823;1823;0;1894
Campanula rotundifolia subsp. polymorpha;0;2146;0;0;0;1704;0;2122;0;1765;0;2410;0;0;0;1823;0;0
Campanula rotundifolia subsp. rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Campanula scheuchzeri;2452;0;0;0;0;0;2122;0;2503;0;0;0;0;2096;1823;0;1894;1894
Cardamine impatiens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine trifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardaminopsis arenosa                ;0;0;0;0;1704;1704;2112;2122;0;0;0;0;0;2096;0;0;0;1894
Cardaminopsis halleri;0;0;0;2061;0;0;2122;2122;0;0;0;0;0;2096;0;1823;0;1825
Cardaminopsis neglecta;0;0;0;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;0
Carduus defloratus subsp. glaucus;0;0;0;2061;0;0;0;0;0;0;0;0;2019;2096;1823;1823;1894;1894
Carex atrata;0;2240;0;2061;0;0;2071;2122;0;0;0;0;0;2096;1823;1823;1894;1894
Carex bigelowii;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Carex capillaris;0;0;0;2061;1704;1704;2122;0;0;0;0;0;0;0;0;0;0;0
Carex curta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex davalliana;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex firma;0;0;0;2061;0;1704;2122;2122;2179;0;0;0;0;2096;1823;1823;1894;1894
Carex fuliginosa;2452;2041;0;0;0;0;2122;2122;2179;0;2410;0;0;0;0;0;0;0
Carex nigra;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0
Carex pilulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
