Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
summit;2452;1704;2122;2503;2410;2096;1823;1894;2152;2210;1867;1206;2061;2126
Abies alba;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Acer pseudoplatanus;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Achillea millefolium;0;0;0;0;0;2096;0;0;0;0;0;0;2061;0
Achillea millefolium subsp. sudetica;0;0;2116;0;0;0;0;0;0;0;0;0;0;0
Aconitum napellus subsp. firmum;2315;0;2122;1765;2233;0;1823;1894;0;0;0;0;2061;0
Adenostyles alliariae;0;0;2122;1990;2410;2096;1823;0;0;0;1867;0;0;0
Agrostis alpina;2200;0;0;0;0;2096;0;0;0;0;0;0;0;2126
Agrostis capillaris;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Agrostis rupestris;2288;1704;2122;2500;2410;0;1823;1825;0;0;1867;0;2061;0
Allium senescens;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Allium sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus incana;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Androsace chamaejasme;2360;1704;0;0;0;2096;1823;1825;2152;0;0;0;2061;0
Androsace lactea;0;1704;0;0;0;0;1823;1825;2152;0;0;0;2061;0
Androsace obtusifolia;0;0;2122;0;2410;0;0;0;0;0;0;0;2061;0
Anemone narcissifolia;2164;1704;2122;2053;2410;2096;1823;0;0;2210;0;0;2061;0
Angelica archangelica subsp. archangelica;0;0;0;0;0;0;1823;1825;0;0;0;0;0;0
Angelica sylvestris;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Antennaria carpatica;0;0;0;2500;1989;2096;0;0;2152;0;0;0;2061;0
Antennaria dioica;0;1704;0;0;0;0;1823;1825;0;0;0;0;0;0
Anthoxanthum alpinum;2360;1704;2122;2053;1989;2096;1823;1825;0;0;1867;0;2061;0
Anthoxanthum odoratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
