Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
summit;2452;1704;2122;2503;2410;2096;1823;1894;2152;2210;1867;1206;2061;2126
Abies alba;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer pseudoplatanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achillea millefolium;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Achillea millefolium subsp. sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aconitum napellus subsp. firmum;2452;0;2122;2503;2410;0;1823;1894;0;0;0;0;2061;0
Adenostyles alliariae;0;0;2122;2503;2410;0;0;0;0;0;0;0;0;0
Agrostis alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis capillaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis rupestris;2452;1704;2122;2503;0;0;0;0;0;0;0;0;0;0
Allium senescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus incana;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Androsace chamaejasme;0;0;2122;0;0;0;1823;1894;0;2210;0;0;0;0
Androsace lactea;0;1704;2122;0;0;0;0;1894;0;0;0;1206;0;0
Androsace obtusifolia;0;0;2122;2503;2410;0;0;0;0;2210;0;0;0;0
Anemone narcissifolia;0;0;2122;2503;2410;0;0;0;0;2210;0;0;0;0
Angelica archangelica subsp. archangelica;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Angelica sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria carpatica;0;0;2122;0;2410;0;0;0;0;0;0;0;2061;0
Antennaria dioica;0;1704;0;0;0;0;1823;0;0;0;0;0;0;0
Anthoxanthum alpinum;0;1704;0;2503;0;0;0;0;0;0;0;0;0;0
Anthoxanthum odoratum;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Anthyllis vulnenaria;0;0;2034;0;0;0;1823;1894;0;0;0;1206;0;0
Arabis alpina;0;0;2122;2503;2260;0;1823;1894;0;2210;0;0;0;0
Arabis hirsuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabis soyeri;0;0;2122;0;0;0;0;1894;0;0;0;0;0;0
Arenaria ciliata;0;1704;2122;0;0;0;1823;1894;0;2210;0;1206;0;0
Artemisia eriantha;0;0;0;0;2250;0;0;0;2152;0;0;0;0;0
Aruncus dioicus;0;0;0;0;0;2096;0;0;2152;0;0;0;0;0
Asplenium ruta-muraria;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium trichomanes-ramosum;0;1704;2122;0;2410;0;0;0;2152;0;0;0;0;0
Aster alpinus;0;0;0;0;0;0;0;1894;0;0;1867;1206;1946;0
Aster bellidiastrum;0;1704;2122;0;0;0;1823;1894;0;0;0;0;0;0
Astragalus australis;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Astragalus frigidus;0;0;0;0;0;0;1823;1858;2152;0;0;0;1978;0
Astrantia major;0;0;0;0;0;0;0;0;2152;0;0;0;0;0
Athyrium distentifolium;0;0;0;2503;1992;0;0;0;0;0;0;0;0;0
Athyrium filix-femina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenula versicolor;0;0;2122;2503;2410;0;0;1894;0;0;0;0;0;0
Bartsia alpina;2452;1704;2122;2503;2410;0;0;1894;0;0;0;0;2061;0
Bellis perennis;0;1603;0;0;0;0;0;0;0;0;0;0;0;0
Biscutella laevigata;0;0;2122;0;0;2102;0;1894;0;0;0;0;2061;0
Botrychium lunaria;0;1704;2122;0;0;2055;0;1894;2150;0;0;0;0;0
Briza media;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bupleurum longifolium;0;0;0;0;0;0;0;1894;2152;0;0;0;2061;0
Bupleurum ranunculoides;0;0;0;0;0;0;1823;1894;2152;0;1867;0;2061;0
