Haw.P56;Haw.C14;Krz.P56;Krz.C14;Rys.P56;Rys.C14;Msc.P56;Msc.C14;Cmi.P56;Cmi.C14;Gws.P56;Gws.C14
Summit;2152;2152;2122;2122;2503;2503;2410;2410;2096;2096;1894;1894
Abies alba;0;0;0;0;0;0;0;0;0;0;0;0
Acer pseudoplatanus;0;0;0;0;0;0;0;0;0;0;0;0
Achillea millefolium;0;0;0;0;0;0;0;0;0;2096;0;0
Achillea millefolium subsp. sudetica;0;0;0;2116;0;0;0;0;0;0;0;0
Aconitum napellus subsp. firmum;0;0;0;2122;2400;1765;0;2233;0;0;0;1894
Adenostyles alliariae;0;0;0;2122;0;1990;0;2410;0;2096;0;0
Agrostis alpina;0;0;0;0;0;0;0;0;0;2096;0;0
Agrostis capillaris;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis rupestris;0;0;0;2122;0;2500;0;2410;0;0;0;1825
Allium senescens;0;0;0;0;0;0;0;0;0;0;0;0
Allium sibiricum;0;0;0;0;0;0;0;0;0;0;0;0
Alnus incana;0;0;0;0;0;0;0;0;0;0;0;0
Androsace chamaejasme;0;2152;0;0;0;0;0;0;0;2096;0;1825
Androsace lactea;0;2152;0;0;0;0;0;0;0;0;0;1825
Androsace obtusifolia;0;0;0;2122;0;0;0;2410;0;0;0;0
Anemone narcissifolia;0;0;0;2122;2480;2053;0;2410;0;2096;0;0
Angelica archangelica subsp. archangelica;0;0;0;0;0;0;0;0;0;0;0;1825
Angelica sylvestris;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria carpatica;0;2152;0;0;0;2500;0;1989;0;2096;0;0
Antennaria dioica;0;0;0;0;0;0;0;0;0;0;0;1825
Anthoxanthum alpinum;0;0;0;2122;0;2053;0;1989;0;2096;0;1825
Anthoxanthum odoratum;0;0;0;0;0;0;0;0;0;0;0;0
Anthyllis vulnenaria;0;0;2034;0;0;0;0;0;0;0;0;1825
Arabis alpina;0;0;0;2122;0;2155;2260;2278;0;2096;0;1894
Arabis hirsuta;0;0;0;0;0;0;0;0;0;0;0;0
Arabis soyeri;0;0;2122;0;0;0;0;0;0;0;0;0
Arenaria ciliata;0;2152;0;0;0;0;0;0;0;0;0;1894
Artemisia eriantha;0;2152;0;0;0;0;0;0;0;0;0;0
Aruncus dioicus;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium ruta-muraria;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium trichomanes-ramosum;2152;2152;0;2087;0;0;2410;0;0;2096;0;1894
Aster alpinus;0;2152;0;0;0;0;0;0;0;0;0;0
