Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Summit;2210;2210;2152;2152;1867;1867;2452;2452;1206;1206;2061;2061;2126;2126;1704;1704;2122;2122;2503;2503;2096;2096;1894;1894
Abies_alba;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer_pseudoplatanus;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achillea_millefolium;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;2096;0;0
Achillea_millefolium_subsp._sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2116;0;0;0;0;0;0
Aconitum_napellus_subsp._firmum;0;0;0;0;0;0;2452;2315;0;0;2061;2061;0;0;0;0;0;2122;0;1765;0;0;1894;1894
Adenostyles_alliariae;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2122;0;1990;0;2096;0;0
Agrostis_alpina;0;0;0;0;0;0;0;2200;0;0;0;0;0;2126;0;0;0;0;0;0;0;2096;0;0
Agrostis_capillaris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis_rupestris;0;0;0;0;0;1867;2452;2288;0;0;0;2061;0;0;0;1704;0;2122;0;2500;0;0;0;1825
Allium_senescens;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium_sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus_incana;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Androsace_chamaejasme;2210;0;0;2152;0;0;0;2360;0;0;0;2061;0;0;0;1704;2122;0;0;0;0;2096;1894;1825
Androsace_lactea;0;0;0;2152;0;0;0;0;1206;0;0;2061;0;0;0;1704;2122;0;0;0;0;0;1894;1825
Androsace_obtusifolia;2210;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;0
Anemone_narcissifolia;2210;2210;0;0;0;0;0;2164;0;0;0;2061;0;0;0;1704;0;2122;0;2053;0;2096;0;0
Angelica_archangelica_subsp._archangelica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;1825
Angelica_sylvestris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria_carpatica;0;0;0;2152;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;2500;0;2096;0;0
Antennaria_dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;1825
Anthoxanthum_alpinum;0;0;0;0;0;1867;0;2360;0;0;0;2061;0;0;0;1704;0;2122;0;2053;0;2096;0;1825
Anthoxanthum_odoratum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthyllis_vulnenaria;0;0;0;0;0;0;0;0;1206;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1825
Arabis_alpina;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;2155;0;2096;1894;1894
Arabis_hirsuta;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabis_soyeri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Arenaria_ciliata;2210;0;0;2152;0;0;0;0;1206;0;0;2061;0;0;0;1704;2122;0;0;0;0;0;1894;1894
Artemisia_eriantha;0;0;2152;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Aruncus_dioicus;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0
Asplenium_ruta-muraria;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium_trichomanes-ramosum;0;0;0;2152;0;0;0;0;0;1206;0;0;0;0;0;0;2122;2087;0;0;0;2096;0;1894
Aster_alpinus;0;0;0;2152;1867;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Aster_bellidiastrum;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;2122;0;0;0;2096;1894;1825
Astragalus_australis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Astragalus_frigidus;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Astrantia_major;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Athyrium_distentifolium;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;1895;0;0;0;1825
Athyrium_filix-femina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenula_versicolor;0;0;0;0;0;1867;0;2238;0;0;0;0;0;2126;0;1704;0;2116;0;0;0;0;1894;1825
Bartsia_alpina;0;0;0;2152;0;0;0;0;0;0;2061;2061;0;2126;0;1704;2122;2122;0;0;0;2096;1894;1894
Bellis_perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biscutella_laevigata;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;2116;0;0;0;2096;1894;1825
Botrychium_lunaria;0;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;1704;2122;2122;0;0;0;2096;0;1894
Briza_media;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bupleurum_longifolium;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1894;1894
Bupleurum_ranunculoides;0;0;0;2152;1867;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;1894;1825
Bupleurum_tenuissimum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_arundinacea;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_canescens;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_varia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1765;0;0;0;0
Calamagrostis_villosa;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Callianthemum_coriandrifolium;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calluna_vulgaris;0;0;0;0;0;1867;0;2145;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Caltha_palustris;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula_alpina;2210;2210;2152;0;1867;1867;0;2452;0;0;0;2061;2126;0;0;0;2122;2116;0;2500;0;2096;1894;1825
Campanula_cochlearifolia;0;0;0;2152;0;1867;0;2423;0;1206;0;2061;0;0;0;0;0;0;0;0;0;0;0;1894
Campanula_rotundifolia_subsp._polymorpha;0;0;0;0;0;0;0;2146;0;0;0;0;0;0;0;1704;0;2122;0;1765;0;0;0;0
Campanula_rotundifolia_subsp._rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula_scheuchzeri;0;2210;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;2096;1894;1894
Cardamine_impatiens;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine_trifolia;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardaminopsis_arenosa________________;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;1704;2122;2122;0;0;0;2096;1894;1894
Cardaminopsis_halleri;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;0;0;2096;0;1825
